trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
147,0,147,0,5,297.1669224,297.1669224,0.0212398,[0.075],[0.2935185185185185],[1],[0],[0],[1.454887299999882],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
148,0,148,0,10,298.6714291,298.6714291,0.0414879,[0.4027777777777778],[0.30462962962962964],[1],[0],[0],[3.3187150000003385],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
149,0,149,0,10,302.0366519,302.0366519,0.0418083,[0.2388888888888889],[0.5],[1],[0],[0],[1.519040700000005],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
150,0,150,0,5,303.5831015,303.5831015,0.0255883,[0.05462962962962963],[-0.04259259259259259],[1],[0],[0],[1.684668999999758],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
151,0,151,0,10,305.3230829,305.3230829,0.0458978,[0.3398148148148148],[0.17037037037037037],[1],[0],[0],[1.8789316000002145],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
152,0,152,0,10,307.2344374,307.2344374,0.0271431,[0.05740740740740741],[0.2037037037037037],[1],[0],[0],[1.9501328999999714],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
153,0,153,0,5,309.2119936,309.2119936,0.0232091,[0.09444444444444444],[0.2101851851851852],[1],[0],[0],[1.3049638000002233],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
154,0,154,0,10,310.5679573,310.5679573,0.0434907,[0.1962962962962963],[0.07314814814814814],[1],[0],[0],[1.250065000000177],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
155,0,155,0,10,311.867367,311.867367,0.0424271,[-0.33240740740740743],[-0.2537037037037037],[1],[0],[0],[1.9021566999999777],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
156,0,156,0,10,313.8193445,313.8193445,0.048328,[-0.07592592592592592],[-0.24814814814814815],[1],[0],[0],[1.5442706999997426],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
157,0,157,0,5,315.3984957,315.3984957,0.0236801,[0.225],[-0.34814814814814815],[1],[0],[0],[1.7520269999999982],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
158,0,158,0,5,317.1765851,317.1765851,0.0225637,[-0.13055555555555556],[0.1787037037037037],[1],[0],[0],[1.739611199999672],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
159,0,159,0,5,318.9439013,318.9439013,0.0246555,[-0.032407407407407406],[-0.14722222222222223],[1],[0],[0],[1.3843320000000858],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
