trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
148,0,148,0,5,230.7779616,230.7779616,0.0100947,[-0.4685185185185185],[-0.1175925925925926],[1],[0],[0],[1.417205500009004],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
149,0,149,0,10,232.2265527,232.2265527,0.0219139,[-0.06666666666666667],[0.10925925925925926],[1],[0],[0],[1.1045634999754839],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
150,0,150,0,5,233.3478656,233.3478656,0.0145587,[-0.2861111111111111],[-0.3138888888888889],[1],[0],[0],[0.964380000019446],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
151,0,151,0,10,234.337084,234.337084,0.0206125,[-0.22962962962962963],[-0.475],[1],[0],[0],[1.2231443999917246],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
152,0,152,0,5,235.5824353,235.5824353,0.0167356,[0.03981481481481482],[-0.07407407407407407],[1],[0],[0],[1.1760626999894157],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
153,0,153,0,10,236.7823808,236.7823808,0.0174255,[0.11296296296296296],[-0.030555555555555555],[1],[0],[0],[0.7427235000068322],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
154,0,154,0,10,237.5465416,237.5465416,0.0189337,[-0.3398148148148148],[-0.2759259259259259],[1],[0],[0],[1.2601533000124618],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
155,0,155,0,5,238.8291653,238.8291653,0.0167487,[0.15462962962962962],[0.03518518518518519],[1],[0],[0],[1.0598862000042573],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
156,0,156,0,10,239.9149309,239.9149309,0.0196951,[0.08888888888888889],[-0.3675925925925926],[1],[0],[0],[0.9745994000113569],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
157,0,157,0,5,240.8999827,240.8999827,0.0091417,[-0.3888888888888889],[0.39166666666666666],[1],[0],[0],[1.5701803999836557],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
158,0,158,0,5,242.483461,242.483461,0.0094207,[0.09722222222222222],[-0.43148148148148147],[1],[0],[0],[1.2193427999736741],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
159,0,159,0,5,243.7194164,243.7194164,0.0107515,[0.10555555555555556],[0.2037037037037037],[1],[0],[0],[1.0668544000363909],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
160,0,160,0,10,244.8176217,244.8176217,0.0247295,[-0.2212962962962963],[-0.10277777777777777],[1],[0],[0],[1.0346567999804392],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
161,0,161,0,5,245.8643807,245.8643807,0.0102197,[0.03611111111111111],[0.46111111111111114],[1],[0],[0],[1.1527666000183672],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
162,0,162,0,10,247.0419629,247.0419629,0.0201286,[0.23055555555555557],[-0.28703703703703703],[1],[0],[0],[1.5750896999961697],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
163,0,163,0,5,248.6310878,248.6310878,0.0130317,[0.16296296296296298],[-0.32222222222222224],[1],[0],[0],[0.6834722000057809],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
164,0,164,0,5,249.3474019,249.3474019,0.0224972,[0.2388888888888889],[-0.46944444444444444],[1],[0],[0],[0.9701836999738589],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
165,0,165,0,10,250.3725164,250.3725164,0.0410411,[0.13796296296296295],[0.23148148148148148],[1],[0],[0],[1.082380199979525],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
166,0,166,0,10,251.5088057,251.5088057,0.0468268,[-0.32407407407407407],[-0.013888888888888888],[1],[0],[0],[1.0966224999865517],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
