trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
58,0,58,0,10,147.9540436,147.9540436,0.047921,[-0.30185185185185187],[0.262037037037037],[1],[0],[0],[1.9115748000003805],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
59,0,59,0,5,149.8948688,149.8948688,0.0293545,[0.05925925925925926],[0.05925925925925926],[1],[0],[0],[1.9631152000001748],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
60,0,60,0,10,151.9131422,151.9131422,0.0421845,[0.10462962962962963],[-0.4027777777777778],[1],[0],[0],[3.583735700000034],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
61,0,61,0,5,155.5271328,155.5271328,0.0294319,[0.3111111111111111],[-0.39537037037037037],[1],[0],[0],[2.080107899999348],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
62,0,62,0,5,157.6354842,157.6354842,0.0217714,[0.25555555555555554],[-0.041666666666666664],[1],[0],[0],[1.5714723000000959],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
63,0,63,0,5,159.2267005,159.2267005,0.0173304,[0.18796296296296297],[-0.31851851851851853],[1],[0],[0],[1.5288990000008198],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
64,0,64,0,5,160.7900537,160.7900537,0.0266506,[-0.2638888888888889],[-0.13148148148148148],[1],[0],[0],[2.266403900000114],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
65,0,65,0,10,163.1270337,163.1270337,0.0571093,[-0.18796296296296297],[-0.16296296296296298],[1],[0],[0],[1.2669843000003311],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
66,0,66,0,10,164.4493002,164.4493002,0.0500155,[-0.41203703703703703],[-0.03148148148148148],[1],[0],[0],[1.6452855999996245],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
67,0,67,0,10,166.1485523,166.1485523,0.0491558,[-0.4444444444444444],[0.2777777777777778],[1],[0],[0],[1.493097100000341],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
68,0,68,0,5,167.6677376,167.6677376,0.0221752,[-0.4546296296296296],[0.08148148148148149],[1],[0],[0],[1.8902239999997619],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
69,0,69,0,5,169.5903677,169.5903677,0.026094,[0.06851851851851852],[0.34074074074074073],[1],[0],[0],[2.2823648999992656],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
70,0,70,0,5,171.9051827,171.9051827,0.0287214,[0.03425925925925926],[-0.49166666666666664],[1],[0],[0],[2.3471081999996386],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
71,0,71,0,5,174.2931944,174.2931944,0.0283789,[-0.40555555555555556],[0.1648148148148148],[1],[0],[0],[2.297176799999761],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
72,0,72,0,5,176.6164649,176.6164649,0.0260287,[-0.44907407407407407],[0.2574074074074074],[1],[0],[0],[2.01793010000074],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
73,0,73,0,10,178.6908945,178.6908945,0.0465542,[0.05185185185185185],[0.03611111111111111],[1],[0],[0],[1.79655399999956],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
74,0,74,0,5,180.5239732,180.5239732,0.0313432,[0.06666666666666667],[0.2175925925925926],[1],[0],[0],[1.7086884999998802],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
75,0,75,0,10,182.2903695,182.2903695,0.0465909,[-0.4898148148148148],[-0.37777777777777777],[1],[0],[0],[3.2977974000004906],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
76,0,76,0,10,185.6488182,185.6488182,0.050973,[-0.24166666666666667],[0.44537037037037036],[1],[0],[0],[2.1737598999998227],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
77,0,77,0,10,187.8710643,187.8710643,0.0428291,[-0.3101851851851852],[-0.001851851851851852],[1],[0],[0],[1.7351994999999079],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
78,0,78,0,5,189.6328906,189.6328906,0.0211453,[-0.22407407407407406],[-0.04537037037037037],[1],[0],[0],[1.269501300000229],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
79,0,79,0,5,190.9327617,190.9327617,0.0230582,[-0.06759259259259259],[0.4185185185185185],[1],[0],[0],[2.1687358000008317],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
80,0,80,0,5,193.1297153,193.1297153,0.0213226,[-0.20833333333333334],[-0.24259259259259258],[1],[0],[0],[2.0379775000001246],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
81,0,81,0,5,195.2011338,195.2011338,0.0265768,[0.30185185185185187],[-0.05092592592592592],[1],[0],[0],[2.430470699999205],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
82,0,82,0,10,197.6969959,197.6969959,0.0500192,[0.4898148148148148],[0.1],[1],[0],[0],[1.655197699999917],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
83,0,83,0,10,199.4021786,199.4021786,0.0463169,[-0.29814814814814816],[-0.06018518518518518],[1],[0],[0],[1.896864899999855],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
84,0,84,0,10,201.3517566,201.3517566,0.0451084,[0.2388888888888889],[-0.3972222222222222],[1],[0],[0],[2.846200300000419],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
85,0,85,0,10,204.2566559,204.2566559,0.0493875,[-0.46111111111111114],[0.4101851851851852],[1],[0],[0],[1.9099593999999342],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
86,0,86,0,10,206.2237922,206.2237922,0.0481581,[-0.05],[0.15555555555555556],[1],[0],[0],[1.576565300000766],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
87,0,87,0,10,207.8478598,207.8478598,0.0423019,[0.375],[-0.43703703703703706],[1],[0],[0],[2.051919999999882],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
88,0,88,0,5,209.9236491,209.9236491,0.0234643,[-0.387037037037037],[-0.026851851851851852],[1],[0],[0],[1.687971700000162],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
89,0,89,0,10,211.6696396,211.6696396,0.0469474,[0.40925925925925927],[-0.3824074074074074],[1],[0],[0],[2.511293300000034],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
90,0,90,0,10,214.2344669,214.2344669,0.0468733,[0.1638888888888889],[0.1925925925925926],[1],[0],[0],[2.345054899999923],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
91,0,91,0,5,216.6069758,216.6069758,0.0216921,[-0.44351851851851853],[-0.4074074074074074],[1],[0],[0],[2.386759699999857],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
92,0,92,0,10,219.0487926,219.0487926,0.0463279,[-0.36203703703703705],[-0.23148148148148148],[1],[0],[0],[1.5144402000005357],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
93,0,93,0,5,220.5921412,220.5921412,0.0250071,[-0.016666666666666666],[0.15833333333333333],[1],[0],[0],[1.383875700000317],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
94,0,94,0,10,222.0298336,222.0298336,0.0458318,[-0.23981481481481481],[0.07222222222222222],[1],[0],[0],[1.2133998999997857],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
95,0,95,0,10,223.3021404,223.3021404,0.049501,[0.14444444444444443],[-0.10092592592592593],[1],[0],[0],[1.360048700000334],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
96,0,96,0,5,224.6881676,224.6881676,0.0246876,[-0.004629629629629629],[0.34629629629629627],[1],[0],[0],[1.7183606000007785],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
97,0,97,0,5,226.4447554,226.4447554,0.0297603,[-0.32222222222222224],[0.3351851851851852],[1],[0],[0],[2.6463456999999835],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
98,0,98,0,10,229.1442719,229.1442719,0.042292,[-0.3111111111111111],[0.24444444444444444],[1],[0],[0],[1.5872287000001961],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
99,0,99,0,10,230.7792752,230.7792752,0.0441833,[-0.04537037037037037],[-0.42592592592592593],[1],[0],[0],[2.4151511999998547],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
100,0,100,0,10,233.2470625,233.2470625,0.0463401,[0.23796296296296296],[-0.2814814814814815],[1],[0],[0],[2.2467028999999457],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
101,0,101,0,10,235.5467422,235.5467422,0.0461899,[0.23425925925925925],[-0.19814814814814816],[1],[0],[0],[1.4153136000004451],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
102,0,102,0,10,237.0126128,237.0126128,0.045393,[-0.24351851851851852],[-0.12314814814814815],[1],[0],[0],[1.7141332999999577],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
103,0,103,0,5,238.751667,238.751667,0.0229099,[-0.14074074074074075],[-0.2722222222222222],[1],[0],[0],[1.9213521000001492],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
104,0,104,0,5,240.7030594,240.7030594,0.0227739,[0.10648148148148148],[0.11296296296296296],[1],[0],[0],[1.3869746999998824],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
105,0,105,0,10,242.1435461,242.1435461,0.0448367,[-0.26944444444444443],[0.45185185185185184],[1],[0],[0],[1.616046500000266],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
106,0,106,0,5,243.7854675,243.7854675,0.0255421,[0.3638888888888889],[-0.3712962962962963],[1],[0],[0],[2.8000849999998536],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
107,0,107,0,10,246.6378268,246.6378268,0.0411067,[0.18518518518518517],[0.45092592592592595],[1],[0],[0],[2.153011299999889],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
108,0,108,0,5,248.8127783,248.8127783,0.0213752,[-0.262037037037037],[-0.27685185185185185],[1],[0],[0],[2.123510200000055],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
109,0,109,0,10,250.9914732,250.9914732,0.0454534,[-0.47962962962962963],[0.2824074074074074],[1],[0],[0],[2.046519800000169],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
